id,Country,Namespace,Reporting year,Network,Network name,Measurement station,Station EoI code,Measurement station name,Sampling point,Used for AQD,Data aggregation process,Data reporting metric,Objective type,Protection target,Air pollutant,Air pollution level,Exceedance threshold,Unit,Data coverage [%],Data verification,Type of station,Area of station,Latitude of station,Longitude of station,Zone code,Zone description,Type of zone
2014#Romania.PM10.P1Y-daysAbove50.LV.SPO-RO0078A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO018A,"Craiova",STA-RO0078A,RO0078A,"DJ-1",SPO-RO0078A_00005_100,NO,1 year day exceed 50,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,7,50,count,73.97,Verified,Traffic,Urban,44.318611,23.806116,,,
2014#Romania.PM10.P1Y.LV.SPO-RO0080A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO018A,"Craiova",STA-RO0080A,RO0080A,"DJ-3",SPO-RO0080A_00005_100,NO,Annual mean / 1 calendar year,Annual mean / average,Limit Value (LV),Health,PM10,26.91,40,ug.m-3,66.03,Verified,Traffic,Urban,44.326664,23.778622,,,
2014#Romania.PM10.P1Y.LV.SPO-RO0073A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO017A,"Cluj",STA-RO0073A,RO0073A,"CJ-1",SPO-RO0073A_00005_100,NO,Annual mean / 1 calendar year,Annual mean / average,Limit Value (LV),Health,PM10,29.59,40,ug.m-3,77.26,Verified,Traffic,Urban,46.778332,23.61557,,,
2014#Romania.SO2.P1Y-daysAbove125.LV.SPO-RO0076A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO017A,"Cluj",STA-RO0076A,RO0076A,"CJ-4",SPO-RO0076A_00001_100,YES,1 year day exceed 125,Days in exceedance in a calendar year,Limit Value (LV),Health,SO2,0,3,count,95.62,Verified,Industrial,Urban,46.782223,23.630569,RO11301,Cluj-Napoca,Agglomeration
2014#Romania.SO2.P1Y-hrsAbove350.LV.SPO-RO0083A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0083A,RO0083A,"IS-1",SPO-RO0083A_00001_100,YES,1 year hour exceed 350,Hours in exceedance in a calendar year,Limit Value (LV),Health,SO2,0,24,count,84.7,Verified,Traffic,Urban,47.156667,27.574722,RO21301,Iasi,Agglomeration
2014#Romania.SO2.P1Y-daysAbove125.LV.SPO-RO0083A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0083A,RO0083A,"IS-1",SPO-RO0083A_00001_100,YES,1 year day exceed 125,Days in exceedance in a calendar year,Limit Value (LV),Health,SO2,0,3,count,84.66,Verified,Traffic,Urban,47.156667,27.574722,RO21301,Iasi,Agglomeration
2014#Romania.PM10.P1Y-P1D-per90.4.LV.SPO-RO0083A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0083A,RO0083A,"IS-1",SPO-RO0083A_00005_100,YES,1 year 90.4 percentile - COMPLIANCE,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,56.28,50,ug.m-3,53.97,Verified,Traffic,Urban,47.156667,27.574722,RO21301,Iasi,Agglomeration
2014#Romania.C6H6.P1Y.LV.SPO-RO0083A_00020_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0083A,RO0083A,"IS-1",SPO-RO0083A_00020_100,YES,Annual mean / 1 calendar year,Annual mean / average,Limit Value (LV),Health,C6H6,3.38,5,ug.m-3,61.2,Verified,Traffic,Urban,47.156667,27.574722,RO21301,Iasi,Agglomeration
2014#Romania.NO2.P1Y-hrsAbove400.LV.SPO-RO0084A_00008_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0084A,RO0084A,"IS-2",SPO-RO0084A_00008_100,YES,1 year hour exceed 400,Hours in exceedance in a calendar year,Limit Value (LV),Health,NO2,0,18,count,69.54,Verified,Background,Urban,47.151112,27.583614,RO21301,Iasi,Agglomeration
2014#Romania.NO2.P1Y-hrsAbove400.LVmaxMOT.SPO-RO0084A_00008_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0084A,RO0084A,"IS-2",SPO-RO0084A_00008_100,YES,1 year hour exceed 400,Hours in exceedance in a calendar year,Limit value plus maximum margin of tolerance,Health,NO2,0,27,count,69.54,Verified,Background,Urban,47.151112,27.583614,RO21301,Iasi,Agglomeration
2014#Romania.PM2.5.P1Y.LV.SPO-RO0084A_06001_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0084A,RO0084A,"IS-2",SPO-RO0084A_06001_100,YES,Annual mean / 1 calendar year,Annual mean / average,Limit Value (LV),Health,PM2.5,21.57,25,ug.m-3,99.18,Verified,Background,Urban,47.151112,27.583614,RO21301,Iasi,Agglomeration
2014#Romania.PM2.5.P1Y.LVMOT.SPO-RO0084A_06001_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0084A,RO0084A,"IS-2",SPO-RO0084A_06001_100,YES,Annual mean / 1 calendar year,Annual mean / average,Limit value plus applicable margin of tolerance (LVMOT),Health,PM2.5,21.57,26,ug.m-3,99.18,Verified,Background,Urban,47.151112,27.583614,RO21301,Iasi,Agglomeration
2014#Romania.SO2.P1Y-3hAbove500.ALT.SPO-RO0085A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0085A,RO0085A,"IS-3",SPO-RO0085A_00001_100,YES,3 consecutive hours in exceedance of 500,Three consecutive hours in exceedance,Alert threshold (ALT),Health,SO2,0,,count,95.87,Verified,Industrial,Urban,47.158058,27.614458,RO21301,Iasi,Agglomeration
2014#Romania.O3.P1Y-hrsAbove180.INT.SPO-RO0085A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0085A,RO0085A,"IS-3",SPO-RO0085A_00007_100,YES,1 year hour exceed 180,Hours in exceedance in a calendar year,Information Threshold (INT),Health,O3,0,,count,95.97,Verified,Industrial,Urban,47.158058,27.614458,RO21301,Iasi,Agglomeration
2014#Romania.NO2.P1Y.LV.SPO-RO0085A_00008_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0085A,RO0085A,"IS-3",SPO-RO0085A_00008_100,YES,Annual mean / 1 calendar year,Annual mean / average,Limit Value (LV),Health,NO2,17.59,40,ug.m-3,97.65,Verified,Industrial,Urban,47.158058,27.614458,RO21301,Iasi,Agglomeration
2014#Romania.NO2.P1Y.LVmaxMOT.SPO-RO0085A_00008_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0085A,RO0085A,"IS-3",SPO-RO0085A_00008_100,YES,Annual mean / 1 calendar year,Annual mean / average,Limit value plus maximum margin of tolerance,Health,NO2,17.59,60,ug.m-3,97.65,Verified,Industrial,Urban,47.158058,27.614458,RO21301,Iasi,Agglomeration
2014#Romania.PM10.P1Y.LV.SPO-RO0086A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0086A,RO0086A,"IS-4",SPO-RO0086A_00005_100,YES,Annual mean / 1 calendar year,Annual mean / average,Limit Value (LV),Health,PM10,22.27,40,ug.m-3,93.7,Verified,Background,Rural-Near_city,47.198891,27.545277,RO21301,Iasi,Agglomeration
2014#Romania.PM10.P1Y.LV.SPO-RO0087A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0087A,RO0087A,"IS-5",SPO-RO0087A_00005_100,NO,Annual mean / 1 calendar year,Annual mean / average,Limit Value (LV),Health,PM10,32.17,40,ug.m-3,89.04,Verified,Background,Suburban,47.13716,27.693067,,,
2014#Romania.O3.P1Y-hrsAbove240.INT.SPO-RO0087A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0087A,RO0087A,"IS-5",SPO-RO0087A_00007_100,YES,1 year hour exceed 240,Hours in exceedance in a calendar year,Information Threshold (INT),Health,O3,0,,count,88.05,Verified,Background,Suburban,47.13716,27.693067,RO21399,Iasi,Non-agglomeration
2014#Romania.PM10.P1Y-P1D-per90.4.LV.SPO-RO0092A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0092A,RO0092A,"AB-1",SPO-RO0092A_00005_100,NO,1 year 90.4 percentile - COMPLIANCE,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,48.15,50,ug.m-3,92.33,Verified,Background,Urban,46.064224,23.563482,,,
2014#Romania.PM10.P1Y-P1D-per90.41.LV.SPO-RO0092A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0092A,RO0092A,"AB-1",SPO-RO0092A_00005_100,NO,1 year 90.41 percentile,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,48.15,50,ug.m-3,92.33,Verified,Background,Urban,46.064224,23.563482,,,
2014#Romania.O3.P1Y-dmaxAbove120.LTO.SPO-RO0092A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0092A,RO0092A,"AB-1",SPO-RO0092A_00007_100,YES,1 year daymax exceed 120,Days in exceedance in a calendar year,Long term objective (LTO),Health,O3,0,0,count,83.56,Verified,Background,Urban,46.064224,23.563482,RO12199,Alba,Non-agglomeration
2014#Romania.O3.P1Y-hrsAbove240.ALT.SPO-RO0092A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0092A,RO0092A,"AB-1",SPO-RO0092A_00007_100,YES,1 year hour exceed 240,Hours in exceedance in a calendar year,Alert threshold (ALT),Health,O3,0,,count,81.62,Verified,Background,Urban,46.064224,23.563482,RO12199,Alba,Non-agglomeration
2014#Romania.NO2.P1Y-hrsAbove400.LV.SPO-RO0092A_00008_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0092A,RO0092A,"AB-1",SPO-RO0092A_00008_100,YES,1 year hour exceed 400,Hours in exceedance in a calendar year,Limit Value (LV),Health,NO2,0,18,count,79.1,Verified,Background,Urban,46.064224,23.563482,RO12199,Alba,Non-agglomeration
2014#Romania.NO2.P1Y-hrsAbove400.LVmaxMOT.SPO-RO0092A_00008_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0092A,RO0092A,"AB-1",SPO-RO0092A_00008_100,YES,1 year hour exceed 400,Hours in exceedance in a calendar year,Limit value plus maximum margin of tolerance,Health,NO2,0,27,count,79.1,Verified,Background,Urban,46.064224,23.563482,RO12199,Alba,Non-agglomeration
2014#Romania.SO2.P1Y-3hAbove500.ALT.SPO-RO0093A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0093A,RO0093A,"AB-2",SPO-RO0093A_00001_100,YES,3 consecutive hours in exceedance of 500,Three consecutive hours in exceedance,Alert threshold (ALT),Health,SO2,0,,count,88.55,Verified,Industrial,Urban,45.9669,23.561399,RO12199,Alba,Non-agglomeration
2014#Romania.O3.P1Y-hrsAbove180.INT.SPO-RO0093A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0093A,RO0093A,"AB-2",SPO-RO0093A_00007_100,YES,1 year hour exceed 180,Hours in exceedance in a calendar year,Information Threshold (INT),Health,O3,0,,count,85.9,Verified,Industrial,Urban,45.9669,23.561399,RO12199,Alba,Non-agglomeration
2014#Romania.C6H6.P1Y.MO.SPO-RO0093A_00020_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0093A,RO0093A,"AB-2",SPO-RO0093A_00020_100,YES,Annual mean / 1 calendar year,Annual mean / average,Monitoring objective (MO),Not applicable,C6H6,2.05,,ug.m-3,61.13,Verified,Industrial,Urban,45.9669,23.561399,RO12199,Alba,Non-agglomeration
2014#Romania.PM10.P1Y.LV.SPO-RO0094A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0094A,RO0094A,"AB-3",SPO-RO0094A_00005_100,YES,Annual mean / 1 calendar year,Annual mean / average,Limit Value (LV),Health,PM10,20.06,40,ug.m-3,94.79,Verified,Industrial,Urban,46.108295,23.225601,RO12199,Alba,Non-agglomeration
2014#Romania.NO2.P1Y.LV.SPO-RO0094A_00008_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0094A,RO0094A,"AB-3",SPO-RO0094A_00008_100,YES,Annual mean / 1 calendar year,Annual mean / average,Limit Value (LV),Health,NO2,12.17,40,ug.m-3,74.33,Verified,Industrial,Urban,46.108295,23.225601,RO12199,Alba,Non-agglomeration
2014#Romania.CO.P1Y-8hdmxAbove10.LV.SPO-RO0094A_00010_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0094A,RO0094A,"AB-3",SPO-RO0094A_00010_100,NO,1 year daymax exceed 10,Days in exceedance in a calendar year,Limit Value (LV),Health,CO,0,0,count,56.16,Verified,Industrial,Urban,46.108295,23.225601,,,
2014#Romania.PM10.P1Y.LV.SPO-RO0095A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO022A,"Arad_RNMCA",STA-RO0095A,RO0095A,"AR-1",SPO-RO0095A_00005_100,YES,Annual mean / 1 calendar year,Annual mean / average,Limit Value (LV),Health,PM10,25.31,40,ug.m-3,94.52,Verified,Traffic,Urban,46.181389,21.334721,RO42199,Arad,Non-agglomeration
2014#Romania.O3.P1Y-hrsAbove240.INT.SPO-RO0095A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO022A,"Arad_RNMCA",STA-RO0095A,RO0095A,"AR-1",SPO-RO0095A_00007_100,YES,1 year hour exceed 240,Hours in exceedance in a calendar year,Information Threshold (INT),Health,O3,0,,count,95,Verified,Traffic,Urban,46.181389,21.334721,RO42199,Arad,Non-agglomeration
2014#Romania.SO2.P1Y.CL.SPO-RO0096A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO022A,"Arad_RNMCA",STA-RO0096A,RO0096A,"AR-2",SPO-RO0096A_00001_100,YES,Annual mean / 1 calendar year,Annual mean / average,Critical level (CL),Vegetation,SO2,10.87,20,ug.m-3,91.4,Verified,Background,Urban,46.190552,21.302483,RO42199,Arad,Non-agglomeration
2014#Romania.PM10.P1Y.MO.SPO-RO0096A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO022A,"Arad_RNMCA",STA-RO0096A,RO0096A,"AR-2",SPO-RO0096A_00005_100,YES,Annual mean / 1 calendar year,Annual mean / average,Monitoring objective (MO),Not applicable,PM10,18.75,,ug.m-3,95.07,Verified,Background,Urban,46.190552,21.302483,RO42199,Arad,Non-agglomeration
2014#Romania.O3.P1Y-hrsAbove240.INT.SPO-RO0096A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO022A,"Arad_RNMCA",STA-RO0096A,RO0096A,"AR-2",SPO-RO0096A_00007_100,YES,1 year hour exceed 240,Hours in exceedance in a calendar year,Information Threshold (INT),Health,O3,0,,count,92.29,Verified,Background,Urban,46.190552,21.302483,RO42199,Arad,Non-agglomeration
2014#Romania.O3.P1Y-hrsAbove180.ALT.SPO-RO0096A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO022A,"Arad_RNMCA",STA-RO0096A,RO0096A,"AR-2",SPO-RO0096A_00007_100,YES,1 year hour exceed 180,Hours in exceedance in a calendar year,Alert threshold (ALT),Health,O3,0,,count,92.29,Verified,Background,Urban,46.190552,21.302483,RO42199,Arad,Non-agglomeration
2014#Romania.NO2.P1Y-3hAbove400.ALT.SPO-RO0096A_00008_100,Romania,RO.ANPM.AQ,2014,NET-RO022A,"Arad_RNMCA",STA-RO0096A,RO0096A,"AR-2",SPO-RO0096A_00008_100,YES,3 consecutive hours in exceedance of 400,Three consecutive hours in exceedance,Alert threshold (ALT),Health,NO2,0,,count,93.08,Verified,Background,Urban,46.190552,21.302483,RO42199,Arad,Non-agglomeration
2014#Romania.NO2.P1Y-hrsAbove200.LV.SPO-RO0096A_00008_100,Romania,RO.ANPM.AQ,2014,NET-RO022A,"Arad_RNMCA",STA-RO0096A,RO0096A,"AR-2",SPO-RO0096A_00008_100,YES,1 year hour exceed 200,Hours in exceedance in a calendar year,Limit Value (LV),Health,NO2,0,18,count,93.08,Verified,Background,Urban,46.190552,21.302483,RO42199,Arad,Non-agglomeration
2014#Romania.SO2.P1Y-daysAbove125.LV.SPO-RO0098A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO023A,"Arges_RNMCA",STA-RO0098A,RO0098A,"AG-1",SPO-RO0098A_00001_100,YES,1 year day exceed 125,Days in exceedance in a calendar year,Limit Value (LV),Health,SO2,0,3,count,87.67,Verified,Traffic,Urban,44.870219,24.854518,RO31101,Pitesti,Agglomeration
2014#Romania.SO2.P1Y-3hAbove500.ALT.SPO-RO0099A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO023A,"Arges_RNMCA",STA-RO0099A,RO0099A,"AG-2",SPO-RO0099A_00001_100,YES,3 consecutive hours in exceedance of 500,Three consecutive hours in exceedance,Alert threshold (ALT),Health,SO2,0,,count,53.2,Verified,Background,Urban,44.858171,24.87715,RO31101,Pitesti,Agglomeration
2014#Romania.O3.P1Y-hrsAbove180.INT.SPO-RO0099A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO023A,"Arges_RNMCA",STA-RO0099A,RO0099A,"AG-2",SPO-RO0099A_00007_100,YES,1 year hour exceed 180,Hours in exceedance in a calendar year,Information Threshold (INT),Health,O3,0,,count,90.21,Verified,Background,Urban,44.858171,24.87715,RO31101,Pitesti,Agglomeration
2014#Romania.PM2.5.P1Y.TV.SPO-RO0099A_06001_100,Romania,RO.ANPM.AQ,2014,NET-RO023A,"Arges_RNMCA",STA-RO0099A,RO0099A,"AG-2",SPO-RO0099A_06001_100,YES,Annual mean / 1 calendar year,Annual mean / average,Target Value (TV),Health,PM2.5,13.38,25,ug.m-3,81.37,Verified,Background,Urban,44.858171,24.87715,RO31101,Pitesti,Agglomeration
2014#Romania.O3.P1Y-hrsAbove180.INT.SPO-RO0102A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO023A,"Arges_RNMCA",STA-RO0102A,RO0102A,"AG-5",SPO-RO0102A_00007_100,YES,1 year hour exceed 180,Hours in exceedance in a calendar year,Information Threshold (INT),Health,O3,0,,count,82.24,Verified,Industrial,Suburban,44.755625,24.97548,RO31199,Arges,Non-agglomeration
2014#Romania.PM10.P1Y.LV.SPO-RO0104A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO024A,"Bacau_RNMCA",STA-RO0104A,RO0104A,"BC-1",SPO-RO0104A_00005_100,YES,Annual mean / 1 calendar year,Annual mean / average,Limit Value (LV),Health,PM10,19.2,40,ug.m-3,94.52,Verified,Background,Urban,46.564594,26.910671,RO21101,Bacau,Agglomeration
2014#Romania.CO.P1Y-8hdmxAbove10.LV.SPO-RO0104A_00010_100,Romania,RO.ANPM.AQ,2014,NET-RO024A,"Bacau_RNMCA",STA-RO0104A,RO0104A,"BC-1",SPO-RO0104A_00010_100,YES,1 year daymax exceed 10,Days in exceedance in a calendar year,Limit Value (LV),Health,CO,0,0,count,78.63,Verified,Background,Urban,46.564594,26.910671,RO21101,Bacau,Agglomeration
2014#Romania.SO2.P1Y.CL.SPO-RO0105A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO024A,"Bacau_RNMCA",STA-RO0105A,RO0105A,"BC-2",SPO-RO0105A_00001_100,YES,Annual mean / 1 calendar year,Annual mean / average,Critical level (CL),Vegetation,SO2,8.75,20,ug.m-3,89.22,Verified,Industrial,Urban,46.555931,26.927031,RO21101,Bacau,Agglomeration
2014#Romania.PM10.P1Y.MO.SPO-RO0105A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO024A,"Bacau_RNMCA",STA-RO0105A,RO0105A,"BC-2",SPO-RO0105A_00005_100,YES,Annual mean / 1 calendar year,Annual mean / average,Monitoring objective (MO),Not applicable,PM10,19.93,,ug.m-3,91.78,Verified,Industrial,Urban,46.555931,26.927031,RO21101,Bacau,Agglomeration
2014#Romania.O3.P1Y-hrsAbove180.ALT.SPO-RO0105A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO024A,"Bacau_RNMCA",STA-RO0105A,RO0105A,"BC-2",SPO-RO0105A_00007_100,YES,1 year hour exceed 180,Hours in exceedance in a calendar year,Alert threshold (ALT),Health,O3,0,,count,90.95,Verified,Industrial,Urban,46.555931,26.927031,RO21101,Bacau,Agglomeration
2014#Romania.O3.P1Y-hrsAbove240.INT.SPO-RO0105A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO024A,"Bacau_RNMCA",STA-RO0105A,RO0105A,"BC-2",SPO-RO0105A_00007_100,YES,1 year hour exceed 240,Hours in exceedance in a calendar year,Information Threshold (INT),Health,O3,0,,count,90.95,Verified,Industrial,Urban,46.555931,26.927031,RO21101,Bacau,Agglomeration
2014#Romania.SO2.P1Y-hrsAbove350.LV.SPO-RO0106A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO024A,"Bacau_RNMCA",STA-RO0106A,RO0106A,"BC-3",SPO-RO0106A_00001_100,YES,1 year hour exceed 350,Hours in exceedance in a calendar year,Limit Value (LV),Health,SO2,0,24,count,91.27,Verified,Industrial,Urban,46.256931,26.793091,RO21199,Bacau,Non-agglomeration
2014#Romania.SO2.P1Y-daysAbove125.LV.SPO-RO0107A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO025A,"Bihor_RNMCA",STA-RO0107A,RO0107A,"BH-1",SPO-RO0107A_00001_100,YES,1 year day exceed 125,Days in exceedance in a calendar year,Limit Value (LV),Health,SO2,0,3,count,87.4,Verified,Background,Urban,47.068611,21.927238,RO11199,Bihor,Non-agglomeration
2014#Romania.O3.P1Y-hrsAbove240.ALT.SPO-RO0107A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO025A,"Bihor_RNMCA",STA-RO0107A,RO0107A,"BH-1",SPO-RO0107A_00007_100,YES,1 year hour exceed 240,Hours in exceedance in a calendar year,Alert threshold (ALT),Health,O3,0,,count,91.45,Verified,Background,Urban,47.068611,21.927238,RO11199,Bihor,Non-agglomeration
2014#Romania.O3.P1Y-dmaxAbove120.LTO.SPO-RO0107A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO025A,"Bihor_RNMCA",STA-RO0107A,RO0107A,"BH-1",SPO-RO0107A_00007_100,YES,1 year daymax exceed 120,Days in exceedance in a calendar year,Long term objective (LTO),Health,O3,0,0,count,88.22,Verified,Background,Urban,47.068611,21.927238,RO11199,Bihor,Non-agglomeration
